contrast,mean,median,lower95,upper95,p_direction,period,season,model
Stone_pile - Control,0.0452685777299276,0.016387223750849667,-0.1798300575190971,0.34612071241052716,0.6943,After,Summer,warm
Reference1 - Reference2,-0.004515819292746754,1.2535654135409358e-4,-0.3073677591687964,0.25329783144968626,0.518,After,Summer,warm
Control - Reference (mean),-0.04637755313003064,-0.012216687417020866,-0.34610764064404725,0.1205978823562038,0.365,After,Summer,warm
Stone_pile - Reference (mean),-0.0011089754001030402,0.0023774675836750747,-0.2541126440561898,0.19403242759887007,0.5719,After,Summer,warm
Stone_pile - Control,0.054115108007194906,0.021357953265620733,-0.15465135306935016,0.3690558986039715,0.6943,After,Autumn,warm
Reference1 - Reference2,0.008009037160548984,1.342609818895113e-4,-0.26768225077193,0.2914798371879564,0.518,After,Autumn,warm
Control - Reference (mean),-0.04775250945324713,-0.014459569289011376,-0.34610942067634864,0.13193884992117755,0.3655,After,Autumn,warm
Stone_pile - Reference (mean),0.00636259855394777,0.0029861665735830267,-0.22614258756259,0.21076597009086137,0.5709,After,Autumn,warm
BACI: (Stone_pile After-Before) - (Control After-Before),0.06144199449461934,0.017105928955210237,-0.20882896214215885,0.44047434992441087,0.6415,Before-vs-After,Summer,warm
