"Site_ID.x","ID","Monitoring","Monitoring_ID","Monitoring_ID.","Lake","Site","LID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Notes","Distance_5m","Distance_20m","Distance_deep_20m","Calculated_slope","Total_ weight_reef","Site_ID.y","Shear_stress","Bottom_visible","Water_clarity","Depth_10m","Slope","Riparian_vegetation","Riparian_species","Overhanging_trees","Erosion","Sructure","Bedrock","Boulders","Cobble","Gravel","Sand","Mud","Organic_matter","Rock_size","Temperature","DO_mgl","DO_percent","Conductivity","Specific_conductivity","pH","Vegetation_nearby","Vegetation_species","Wood_cover","Other","pH1","Reef_shape.1","Distance_to_shore.1","Length.1","Width.1","Area.1","Weight.1","Depth_on_R.1","Depth_on_L.1","Hight_above.1","Depth_after.1","Volume.1","Sedimentation.1","Accumulation_of_weeds.1","Reef_shape.2","Distance_to_shore.2","Length.2","Width.2","Area.2","Weight.2","Depth_on_R.2","Depth_on_L.2","Hight_above.2","Depth_after.2","Volume.2","Sedimentation.2","Accumulation_of_weeds.2","Reef_shape.3","Distance_to_shore.3","Length.3","Width.3","Area.3","Weight.3","Depth_on_R.3","Depth_on_L.3","Hight_above.3","Depth_after.3","Volume.3","Sedimentation.3","Accumulation_of_weeds.3","Emergent_Native","Emergent_Non_Native","Submerged_Non_Native","Turf_Native","Total_Individuals_Bullies","Total_Individuals_Common_smelt","Total_Individuals_Goldfish","Total_Individuals_Kōaro","Total_Individuals_Kōura","Total_Individuals_Trout","Total_Individuals_Catfish","Total_Individuals_Eel","Total_Individuals_Mosquitofish","Weighted_CPUE_Bullies","Weighted_CPUE_Common_smelt","Weighted_CPUE_Goldfish","Weighted_CPUE_Kōaro","Weighted_CPUE_Kōura","Weighted_CPUE_Trout","Weighted_CPUE_Catfish","Weighted_CPUE_Eel","Weighted_CPUE_Mosquitofish","Weighted_BCUE_Bullies","Weighted_BCUE_Common_smelt","Weighted_BCUE_Goldfish","Weighted_BCUE_Kōaro","Weighted_BCUE_Kōura","Weighted_BCUE_Trout","Weighted_BCUE_Catfish","Weighted_BCUE_Eel","Weighted_BCUE_Mosquitofish","Total_Weight_Bullies","Total_Weight_Common_smelt","Total_Weight_Goldfish","Total_Weight_Kōaro","Total_Weight_Kōura","Total_Weight_Trout","Total_Weight_Catfish","Total_Weight_Eel","Total_Weight_Mosquitofish","Mean_Length_Bullies","Mean_Length_Common_smelt","Mean_Length_Goldfish","Mean_Length_Kōaro","Mean_Length_Kōura","Mean_Length_Trout","Mean_Length_Catfish","Mean_Length_Eel","Mean_Length_Mosquitofish","Mean_Weight_Bullies","Mean_Weight_Common_smelt","Mean_Weight_Goldfish","Mean_Weight_Kōaro","Mean_Weight_Kōura","Mean_Weight_Trout","Mean_Weight_Catfish","Mean_Weight_Eel","Mean_Weight_Mosquitofish","Weighted_CPUE_numerator_Bullies","Weighted_CPUE_numerator_Common_smelt","Weighted_CPUE_numerator_Goldfish","Weighted_CPUE_numerator_Kōaro","Weighted_CPUE_numerator_Kōura","Weighted_CPUE_numerator_Trout","Weighted_CPUE_numerator_Catfish","Weighted_CPUE_numerator_Eel","Weighted_CPUE_numerator_Mosquitofish","Weighted_BCUE_numerator_Bullies","Weighted_BCUE_numerator_Common_smelt","Weighted_BCUE_numerator_Goldfish","Weighted_BCUE_numerator_Kōaro","Weighted_BCUE_numerator_Kōura","Weighted_BCUE_numerator_Trout","Weighted_BCUE_numerator_Catfish","Weighted_BCUE_numerator_Eel","Weighted_BCUE_numerator_Mosquitofish","Total_Effort_sum_Bullies","Total_Effort_sum_Common_smelt","Total_Effort_sum_Goldfish","Total_Effort_sum_Kōaro","Total_Effort_sum_Kōura","Total_Effort_sum_Trout","Total_Effort_sum_Catfish","Total_Effort_sum_Eel","Total_Effort_sum_Mosquitofish","Min_Length_Bullies","Min_Length_Common_smelt","Min_Length_Goldfish","Min_Length_Kōaro","Min_Length_Kōura","Min_Length_Trout","Min_Length_Catfish","Min_Length_Eel","Min_Length_Mosquitofish","Max_Length_Bullies","Max_Length_Common_smelt","Max_Length_Goldfish","Max_Length_Kōaro","Max_Length_Kōura","Max_Length_Trout","Max_Length_Catfish","Max_Length_Eel","Max_Length_Mosquitofish","Min_Weight_Bullies","Min_Weight_Common_smelt","Min_Weight_Goldfish","Min_Weight_Kōaro","Min_Weight_Kōura","Min_Weight_Trout","Min_Weight_Catfish","Min_Weight_Eel","Min_Weight_Mosquitofish","Max_Weight_Bullies","Max_Weight_Common_smelt","Max_Weight_Goldfish","Max_Weight_Kōaro","Max_Weight_Kōura","Max_Weight_Trout","Max_Weight_Catfish","Max_Weight_Eel","Max_Weight_Mosquitofish","Richness","Abundance","Presence_Bullies","Presence_Eel","Presence_Goldfish","Presence_Common_smelt","Presence_Kōaro","Presence_Kōura","Presence_Mosquitofish","Presence_Catfish","Presence_Trout","Predator_Fish_Presence","Dragonfly larvae Small","Caddisfly larvae","diving beatle","Invertebrates_Richness","Invertebrates_Abundance","Presence_rocks","Slope_5m","Site_ID_","Monitoring_ID_","Date","Time","Year","Month","Day","Season","Date_Time_Numeric","Monitoring_label","Habitat_Type","Substrate_index"
3,1,"0","3_0","1_0","Rotoiti","Reef",54730,-38.0526673079263,176.47144524762,150,"Rocky",2025-02-04 03:00:00,"Sunny",3.5,1,1,NA,82.9889020904982,164.450019734722,163.768266763249,0.122123781336179,3040,3,NA,1,NA,0.9,0.09,0,NA,10,100,0,0,30,30,10,30,0,0,NA,26,11.89,146.5,159.5,156.219392752204,8.12,0,NA,0,NA,NA,"Round","1600","2500","2200","5.5","1013.3333333333334","420","450","170","580","1.1733333333333336","295","0","Round","2100","2400","2200","5.28","1013.3333333333334","480","440","120","570","1.2056","295.75","0","Round","3000","2400","2500","6","1013.3333333333334","530","500","190","620","1.46","383.25","0",0,0,0,0,2,19,6,4,2,0,0,1,0,0.5,4.75,1.5,1,0.5,0,0,0.25,0,755.25,6.25,54.75,5.25,12.25,0,0,0,0,3021,25,219,21,49,NA,NA,0,NA,NA,NA,117,77,30.85,NA,NA,600,NA,377.625,25,36.5,5.25,24.5,NA,NA,NA,NA,2,19,6,4,2,NA,NA,1,NA,3021,25,219,21,49,NA,NA,0,NA,4,4,4,4,4,NA,NA,4,NA,NA,NA,80,73,21.7,NA,NA,600,NA,NA,NA,204,85,40,NA,NA,600,NA,45,25,6,3,5,NA,NA,NA,NA,574,25,60,6,44,NA,NA,NA,NA,6,13,1,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,1,0.0602490197369712,1,"1_0",2025-02-04,"03:00:00",2025,"Feb",4,"Summer",1738638000,"0 Pre/Summer","Rocky",5.2
4,2,"0","4_0","2_0","Rotoiti","Control",54730,-38.0529135570371,176.470933127575,150,"Rocky",2025-02-04 03:30:00,"Sunny",3.5,1,1,"New rocks as retainig wall/ dead swan in site",105.445519540936,180.302636624781,179.82545515734,0.111218959420961,NA,4,NA,1,NA,0.2,0.02,70,"Flax",0,0,0,0,20,20,0,60,0,0,NA,25.8,11.54,141.7,159.1,156.47128245476,9.08,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,14,3,7,2,0,0,0,0,0.5,3.5,0.75,1.75,0.5,0,0,0,0,515.25,2.75,20.25,8.75,7.25,0,0,0,0,2061,11,81,35,29,NA,NA,NA,NA,NA,NA,101,97,22.305,NA,NA,NA,NA,412.2,11,27,5.83333333333333,14.5,NA,NA,NA,NA,2,14,3,7,2,NA,NA,NA,NA,2061,11,81,35,29,NA,NA,NA,NA,4,4,4,4,4,NA,NA,NA,NA,NA,NA,91,78,12.13,NA,NA,NA,NA,NA,NA,112,175,32.48,NA,NA,NA,NA,222,11,22,4,1,NA,NA,NA,NA,527,11,33,8,28,NA,NA,NA,NA,5,12,1,0,1,1,1,1,0,0,0,0,2,0,0,1,2,1,0.047417851623927,2,"2_0",2025-02-04,"03:30:00",2025,"Feb",4,"Summer",1738639800,"0 Pre/Summer","Rocky",4.4
5,3,"0","5_0","3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,5,NA,1,NA,0.4,0.04,100,"grass",0,0,0,0,0,0,0,100,0,0,NA,25.2,10.87,132.2,170.8,170.085640310695,8.82,1,"Three-leaved milfoil",0,NA,NA,"Round","4700","2200","1900","4.18","660","360","345","85","365","0.68621666666666659","360","2","Round","5700","1500","1600","2.4","660","360","365","75","390","0.41599999999999998","343","0","Round","4200","1900","2000","3.8","660","330","330","75","380","0.61116666666666675","318.5","0",0,0,0,0,107,0,2,0,0,0,0,0,1,26.75,0,0.5,0,0,0,0,0,0.25,1074.5,0,92.5,0,0,0,0,0,0,4298,NA,370,NA,NA,NA,NA,NA,0,NA,NA,182.5,NA,NA,NA,NA,NA,NA,429.8,NA,185,NA,NA,NA,NA,NA,NA,107,NA,2,NA,NA,NA,NA,NA,1,4298,NA,370,NA,NA,NA,NA,NA,0,4,NA,4,NA,NA,NA,NA,NA,4,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,44,NA,86,NA,NA,NA,NA,NA,NA,589,NA,284,NA,NA,NA,NA,NA,NA,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.0665751987811884,3,"3_0",2025-02-04,"12:50:00",2025,"Feb",4,"Summer",1738673400,"0 Pre/Summer","Sandy",3
6,4,"0","6_0","4_0","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-02-04 12:30:00,"Sunny",3,1,1,"nets collepes first time",73.1064213892519,1435.7027457702,1433.76093577721,0.0139493269072493,NA,6,NA,1,NA,0.5,0.05,80,"grass+flax",5,0,0,0,0,0,0,100,0,0,NA,25.6,10.24,125.4,170.9,168.773454473632,8.51,1,"Three-leaved milfoil",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,105,1,1,0,0,0,0,0,0,26.25,0.25,0.25,0,0,0,0,0,0,551.75,0,0.25,0,0,0,0,0,0,2207,0,1,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,140.5625,NA,1,NA,NA,NA,NA,NA,NA,105,1,1,NA,NA,NA,NA,NA,NA,2207,0,1,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,581,NA,1,NA,NA,NA,NA,NA,NA,3,1,1,0,1,1,0,0,0,0,0,0,12,0,0,1,12,0,0.0683934448572954,4,"4_0",2025-02-04,"12:30:00",2025,"Feb",4,"Summer",1738672200,"0 Pre/Summer","Sandy",3
7,5,"0","7_0","5_0","Rotoiti","Reef",54730,-38.0222760864304,176.348643537609,150,"Sandy",2025-02-04 11:30:00,"Sunny",3,1,1,NA,267.55142706579,1689.68543182272,1687.01869857311,0.0118552331500037,3700,7,NA,1,NA,0.6,0.06,10,"Small trees",0,0,1,0,0,0,0,70,30,0,NA,24.2,9.25,110.4,172,174.938974776241,8.12,0,NA,0,NA,NA,"Round","3500","2300","1700","3.91","1233.3333333333333","450","430","135","420","0.7591916666666666","370.5","10","Round","3500","2300","1900","4.37","1233.3333333333333","500","490","230","505","0.92134166666666673","342.5","5","Round","3440","2300","1800","4.1399999999999997","1233.3333333333333","455","480","175","500","0.86939999999999995","346.75","0",0,30,10,0,109,1,5,0,2,0,1,0,0,27.25,0.25,1.25,0,0.5,0,0.25,0,0,545.5,0,88,0,27.5,0,0.75,0,0,2182,0,352,NA,110,NA,3,NA,NA,NA,NA,137.2,NA,44.055,NA,59,NA,NA,184.333333333333,NA,88,NA,55,NA,3,NA,NA,109,1,5,NA,2,NA,1,NA,NA,2182,0,352,NA,110,NA,3,NA,NA,4,4,4,NA,4,NA,4,NA,NA,NA,NA,86,NA,41.11,NA,59,NA,NA,NA,NA,185,NA,47,NA,59,NA,NA,6,NA,51,NA,44,NA,3,NA,NA,565,NA,154,NA,66,NA,3,NA,NA,5,8,1,0,1,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,0,0.018687996004486,5,"5_0",2025-02-04,"11:30:00",2025,"Feb",4,"Summer",1738668600,"0 Pre/Summer","Sandy",2.4
8,6,"0","8_0","6_0","Rotoiti","Control",54730,-38.0218725085535,176.348304238168,150,"Sandy",2025-02-04 11:00:00,"Sunny",3,1,1,NA,220.524873221001,1741.06263130931,1738.07490007139,0.0115069839620712,NA,8,NA,1,NA,0.6,0.06,0,NA,0,0,1,0,0,0,0,100,0,0,NA,24.1,8.65,103,172.1,175.415350117215,8.11,1,"Hornwort",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,119,0,4,0,0,0,2,1,0,29.75,0,1,0,0,0,0.5,0.25,0,1190.75,0,121,0,0,0,123,0,0,4763,NA,484,NA,NA,NA,492,0,NA,NA,NA,164.75,NA,NA,NA,214.5,550,NA,229.681818181818,NA,121,NA,NA,NA,246,NA,NA,119,NA,4,NA,NA,NA,2,1,NA,4763,NA,484,NA,NA,NA,492,0,NA,4,NA,4,NA,NA,NA,4,4,NA,NA,NA,136,NA,NA,NA,104,550,NA,NA,NA,210,NA,NA,NA,325,550,NA,29,NA,66,NA,NA,NA,15,NA,NA,587,NA,219,NA,NA,NA,477,NA,NA,4,7,1,1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,0,0.022673179342401,6,"6_0",2025-02-04,"11:00:00",2025,"Feb",4,"Summer",1738666800,"0 Pre/Summer","Sandy",3
9,7,"0","9_0","7_0","Rotoiti","Reef",54730,-38.0400700989088,176.368333417899,150,"Sandy",2025-02-04 02:30:00,"Sunny",3,1,1,NA,130.678248479696,334.104864132139,332.37012426407,0.0601738800810806,1920,9,NA,1,NA,0.5,0.05,100,"Grass",0,0,0,0,0,0,0,100,0,0,NA,26.6,8.37,103.9,330.6,319.852941176471,3.69,0,NA,0,NA,NA,"Round","3900","1700","1500","2.5499999999999998","640","470","490","200","500","0.53549999999999998","422.5","0","Round","4200","2000","1700","3.4","640","420","460","160","410","0.64033333333333342","401.25","0","Round","4400","2000","1800","3.6","640","450","480","190","490","0.73799999999999999","368.25","0",0,0,5,40,6,16,11,0,0,0,0,0,0,1.5,4,2.75,0,0,0,0,0,0,701.25,3.5,569.25,0,0,0,0,0,0,2805,14,2277,NA,NA,NA,NA,NA,NA,NA,NA,196.181818181818,NA,NA,NA,NA,NA,NA,235.833333333333,14,207,NA,NA,NA,NA,NA,NA,6,16,11,NA,NA,NA,NA,NA,NA,2805,14,2277,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,NA,5,14,93,NA,NA,NA,NA,NA,NA,610,14,373,NA,NA,NA,NA,NA,NA,3,11,1,0,1,1,0,0,0,0,0,0,9,0,0,1,9,0,0.0382619147269706,7,"7_0",2025-02-04,"02:30:00",2025,"Feb",4,"Summer",1738636200,"0 Pre/Summer","Sandy",3
10,8,"0","10_0","8_0","Rotoiti","Control",54730,-38.0399884269911,176.367640974845,150,"Sandy",2025-02-04 02:00:00,"Sunny",3,1,1,NA,69.5081840126718,381.61439291614,380.359464057203,0.0525818387339829,NA,10,NA,1,NA,0.5,0.05,30,"Grass",0,0,0,0,0,0,0,100,0,0,NA,25.9,8.38,103.3,346,339.581902051232,3.72,0,NA,0,NA,"7.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,10,4,18,4,1,0,0,0,0,0,1,4.5,1,0.25,0,0,0,0,0,747,2.75,84.25,1,0,0,0,0,0,2988,11,337,4,NA,NA,NA,NA,NA,NA,NA,118,75,NA,NA,NA,NA,NA,373.5,11,84.25,4,NA,NA,NA,NA,NA,4,18,4,1,NA,NA,NA,NA,NA,2988,11,337,4,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,55,75,NA,NA,NA,NA,NA,NA,NA,200,75,NA,NA,NA,NA,NA,44,11,20,4,NA,NA,NA,NA,NA,537,11,200,4,NA,NA,NA,NA,NA,4,5,1,0,1,1,1,0,0,0,0,0,11,0,0,1,11,0,0.0719339754163116,8,"8_0",2025-02-04,"02:00:00",2025,"Feb",4,"Summer",1738634400,"0 Pre/Summer","Sandy",3
11,9,"0","11_0","9_0","Rotoiti","Reef",54730,-38.0149838,176.4133799,150,"Sandy",2025-02-04 09:45:00,"Sunny",3.5,1,1,NA,168.339491020125,259.826404337621,256.267203593034,0.0780435409587606,3010,11,NA,1,NA,0.85,0.085,0,NA,0,0,0,0,5,0,15,80,0,0,NA,21.7,8.87,101,145.3,156.119050177286,8.74,0,NA,3,NA,NA,"Round","6400","1800","2000","3.6","1003.3333333333334","630","615","280","715","1.008","405.25","0","Round","6700","2500","2100","5.25","1003.3333333333334","740","700","340","770","1.63625","441.5","0","Round","6600","2200","1600","3.52","1003.3333333333334","740","750","350","780","1.1264000000000001","400.75","0",0,0,0,10,118,4,3,2,0,0,0,0,0,29.5,1,0.75,0.5,0,0,0,0,0,670,0.5,111.75,5.75,0,0,0,0,0,2680,2,447,23,NA,NA,NA,NA,NA,NA,NA,181,111.5,NA,NA,NA,NA,NA,229.166666666667,2,149,11.5,NA,NA,NA,NA,NA,118,4,3,2,NA,NA,NA,NA,NA,2680,2,447,23,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,140,107,NA,NA,NA,NA,NA,NA,NA,207,116,NA,NA,NA,NA,NA,14,2,59,8,NA,NA,NA,NA,NA,600,2,204,15,NA,NA,NA,NA,NA,4,5,1,0,1,1,1,0,0,0,0,0,5,0,0,1,5,1,0.029701883792688,9,"9_0",2025-02-04,"09:45:00",2025,"Feb",4,"Summer",1738662300,"0 Pre/Summer","Sandy",3.35
12,10,"0","12_0","10_0","Rotoiti","Control",54730,-38.0149894250948,176.414205051426,150,"Rocky",2025-02-04 10:20:00,"Sunny",3.5,1,1,NA,138.622117701376,221.365381729161,219.146731835821,0.0912630539020928,NA,12,NA,1,NA,0.8,0.08,20,"Flax",0,0,0,0,0,50,50,0,0,0,NA,22.5,9.34,107.9,150.4,158.733509234828,8.65,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,35,7,5,0,1,0,0,0,0,8.75,1.75,1.25,0,0.25,0,0,0,0,611.75,1.75,40.75,0,6.75,0,0,0,0,2447,7,163,NA,27,NA,NA,NA,NA,NA,NA,105.2,NA,33.56,NA,NA,NA,NA,256.3,7,32.6,NA,27,NA,NA,NA,NA,35,7,5,NA,1,NA,NA,NA,NA,2447,7,163,NA,27,NA,NA,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,86,NA,33.56,NA,NA,NA,NA,NA,NA,131,NA,33.56,NA,NA,NA,NA,29,7,15,NA,27,NA,NA,NA,NA,555,7,59,NA,27,NA,NA,NA,NA,4,6,1,0,1,1,0,1,0,0,0,0,11,0,0,1,11,1,0.0360692801618509,10,"10_0",2025-02-04,"10:20:00",2025,"Feb",4,"Summer",1738664400,"0 Pre/Summer","Rocky",5
13,11,"0","13_0","11_0","Rotoiti","Reference",54730,-38.0276056022708,176.40494378912,150,"Rocky",2025-02-06 14:46:00,"Sunny",3.5,1,1,"Right, Cliff as shore",38.942244562325,121.850769016352,119.249019758657,0.167716263332622,NA,13,NA,1,NA,0.9,0.09,0,"0",0,0,0,0,90,0,0,10,0,0,NA,24.4,11.18,133.9,156.9,158.902167308082,9.18,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,22,50,11,0,0,0,1,0,0,5.5,12.5,2.75,0,0,0,0.25,0,0,370,14.25,78,0,0,0,8.75,0,0,1480,57,312,NA,NA,NA,35,NA,NA,NA,NA,100.363636363636,NA,NA,NA,133,NA,NA,251.333333333333,57,28.3636363636364,NA,NA,NA,35,NA,NA,22,50,11,NA,NA,NA,1,NA,NA,1480,57,312,NA,NA,NA,35,NA,NA,4,4,4,NA,NA,NA,4,NA,NA,NA,NA,80,NA,NA,NA,133,NA,NA,NA,NA,125,NA,NA,NA,133,NA,NA,14,57,15,NA,NA,NA,35,NA,NA,577,57,48,NA,NA,NA,35,NA,NA,4,12,1,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,1,0.128395269871971,11,"11_0",2025-02-06,"14:46:00",2025,"Feb",6,"Summer",1738853160,"0 Pre/Summer","Rocky",6.6
14,12,"0","14_0","12_0","Rotoiti","Reference",54730,-38.027783,176.4042814,150,"Rocky",2025-02-06 15:10:00,"Sunny",3.5,1,1,"Left, Cliff as shore",70.9186341457602,162.050124796368,160.734632833987,0.124428691237045,NA,14,NA,1,NA,0.7,0.07,100,"Native forest",100,0,0,0,20,80,0,0,0,0,NA,25.4,10.88,136.4,161.1,159.758032526775,9.14,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8,20,21,0,0,0,1,0,0,2,5,5.25,0,0,0,0.25,0,0,694.5,6.25,222.5,0,0,0,6.75,0,0,2778,25,890,NA,NA,NA,27,NA,NA,NA,NA,107.333333333333,NA,NA,NA,130,NA,NA,279.8,25,42.3809523809524,NA,NA,NA,27,NA,NA,8,20,21,NA,NA,NA,1,NA,NA,2778,25,890,NA,NA,NA,27,NA,NA,4,4,4,NA,NA,NA,4,NA,NA,NA,NA,71,NA,NA,NA,130,NA,NA,NA,NA,180,NA,NA,NA,130,NA,NA,5,25,9,NA,NA,NA,27,NA,NA,628,25,148,NA,NA,NA,27,NA,NA,4,22,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0.0705033318848671,12,"12_0",2025-02-06,"15:10:00",2025,"Feb",6,"Summer",1738854600,"0 Pre/Summer","Rocky",6.2
15,13,"0","15_0","13_0","Rotoiti","Reference",54730,-38.0401949,176.3586787,150,"Sandy",2025-02-06 11:15:00,"Sunny",3,1,1,"Right",63.3350158193617,218.544411001867,218.384482858113,0.0915815983729679,NA,15,NA,1,NA,0.45,0.045,100,"Native forest",100,0,0,10,0,0,10,80,0,0,NA,24.3,9.39,112.1,177.9,180.554145945397,7.57,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,1,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,637,0,5.5,0,0,0,0,0,0,2548,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,424.666666666667,NA,22,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2548,NA,22,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,55,NA,22,NA,NA,NA,NA,NA,NA,619,NA,22,NA,NA,NA,NA,NA,NA,2,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0.0789452711950138,13,"13_0",2025-02-06,"11:15:00",2025,"Feb",6,"Summer",1738840500,"0 Pre/Summer","Sandy",3.6
16,14,"0","16_0","14_0","Rotoiti","Reference",54730,-38.0398114,176.3581623,150,"Sandy",2025-02-06 11:00:00,"Sunny",3,1,1,"Left, 1 net big hole",59.880478669367,183.129609879407,182.742768352052,0.109443455302539,NA,16,NA,1,NA,0.4,0.04,100,"Native forest",100,0,0,10,0,0,0,90,0,0,NA,24.3,9.39,112.1,177.9,180.554145945397,7.52,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,20,3,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,506,0,0,0,11.6666666666667,0,0,0,0,1518,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,506,NA,NA,NA,35,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1518,NA,NA,NA,35,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,NA,NA,NA,NA,37.11,NA,NA,NA,NA,392,NA,NA,NA,35,NA,NA,NA,NA,578,NA,NA,NA,35,NA,NA,NA,NA,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.083499666520833,14,"14_0",2025-02-06,"11:00:00",2025,"Feb",6,"Summer",1738839600,"0 Pre/Summer","Sandy",3.5
