fit_name,model,elpd_diff,se_diff,p_worse,diag_diff,diag_elpd,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1,fit_warm,0,0,NA,,,-76.19526286607483,6.285896552699948,22.134568585408672,2.2848125454189283,152.39052573214965,12.571793105399896
2,fit_wave_p,-0.24116405942837105,1.1924364257003188,0.5801373220251084,N < 100,,-76.4364269255032,6.126293930907723,24.02877829476845,2.35218391562744,152.8728538510064,12.252587861815446
3,fit_fetch_psi,-0.24585896842983335,0.8432272984908478,0.6146919225971442,N < 100,,-76.44112183450466,6.293709502792031,22.719062817492865,2.3066778988286343,152.8822436690093,12.587419005584062
