contrast,mean,median,lower95,upper95,p_direction,period,season,model
Stone_pile - Control,0.005362427184228139,1.501162228547126e-4,-0.2970697357807477,0.30419193021233515,0.5394,After,NA,summer
Reference1 - Reference2,-0.03411689539825728,-0.0033440164158808905,-0.3704601421931051,0.16357260500958334,0.3999,After,NA,summer
Control - Reference (mean),-0.03754015783074417,-0.003454068460462645,-0.3287097067369224,0.11697923151620444,0.4064,After,NA,summer
Stone_pile - Reference (mean),-0.03217773064651603,-6.130476731774914e-4,-0.3756156678933025,0.17557758798960582,0.4628,After,NA,summer
BACI: (Stone_pile After-Before) - (Control After-Before),0.041848424970225936,0.0027319712846868294,-0.26315627492036237,0.4170763964184141,0.5765,Before-vs-After,NA,summer
