location_type,period,season,psi_mean,psi_lwr,psi_upr
Stone_pile,Before,NA,0.7813192391544076,0.2368776862853453,0.9999970950826266
Control,Before,NA,0.8178052369404054,0.32577490794820324,0.9999962072385455
Reference1,Before,NA,0.8437441718546917,0.359252492401286,0.9999960134939347
Reference2,Before,NA,0.8983395403562341,0.5286058630696306,0.9999960731071115
Stone_pile,After,NA,0.9126832070568741,0.5500724312112216,0.9999971461497639
Control,After,NA,0.907320779872646,0.5541752412785843,0.9999961583727192
Reference1,After,NA,0.9278024900042615,0.5743465848251916,0.9999974965109336
Reference2,After,NA,0.9619193854025188,0.7683498102883066,0.9999974893016597
