site_id,site_type,eff_fetch_m,wind_spd_ms,wind_dir_deg,wave_energy_proxy,round
1,Stone_pile,4591.54578014094,7.6632226106744445,326.08831074149714,269638.43769271986,0
2,Control,4633.5319902643205,7.6632226106744445,326.08831074149714,272104.077075272,0
3,Stone_pile,719.1138702322024,7.6632226106744445,326.08831074149714,42229.94820855831,0
4,Control,720.936592793649,7.6632226106744445,326.08831074149714,42336.987555947904,0
5,Stone_pile,59.565008731624864,7.6632226106744445,326.08831074149714,3497.953992969998,0
6,Control,17.107211014400097,7.6632226106744445,326.08831074149714,1004.6206380329154,0
7,Stone_pile,713.3876529265408,7.6632226106744445,326.08831074149714,41893.676207336925,0
8,Control,1004.5222846032423,7.6632226106744445,326.08831074149714,58990.55185716254,0
9,Stone_pile,0,7.6632226106744445,326.08831074149714,0,0
10,Control,0,7.6632226106744445,326.08831074149714,0,0
11,Reference,112.95972726844295,7.6632226106744445,326.08831074149714,6633.557812838305,0
12,Reference,220.1289698152752,7.6632226106744445,326.08831074149714,12927.069521688785,0
13,Reference,624.8926923641482,7.6632226106744445,326.08831074149714,36696.811349117,0
14,Reference,563.7418826891998,7.6632226106744445,326.08831074149714,33105.731226228236,0
15,Reference,282.3474596931658,7.6632226106744445,326.08831074149714,16580.849143975323,0
16,Reference,317.51384551851237,7.6632226106744445,326.08831074149714,18645.994475697313,0
17,Reference,77.63641975830669,7.6632226106744445,326.08831074149714,4559.1972581929585,0
18,Reference,272.5232273228882,7.6632226106744445,326.08831074149714,16003.92128684513,0
19,Reference,34.09873061827246,7.6632226106744445,326.08831074149714,2002.4473002060918,0
20,Reference,51.758884614464485,7.6632226106744445,326.08831074149714,3039.5395042175896,0
1,Stone_pile,177.10648175921915,10.149111489153904,105.53671759495944,18242.758227948012,1
2,Control,51.146870574674885,10.149111489153904,105.53671759495944,5268.355989807655,1
3,Stone_pile,834.2652658435354,10.149111489153904,105.53671759495944,85933.046558112,1
4,Control,804.3510113224343,10.149111489153904,105.53671759495944,82851.74480462976,1
5,Stone_pile,71.82422616849635,10.149111489153904,105.53671759495944,7398.215920085209,1
6,Control,58.53268318154776,10.149111489153904,105.53671759495944,6029.127658725405,1
7,Stone_pile,959.6440394525673,10.149111489153904,105.53671759495944,98847.61993310445,1
8,Control,296.4191779556762,10.149111489153904,105.53671759495944,30532.498550358756,1
9,Stone_pile,1323.9383915827225,10.149111489153904,105.53671759495944,136371.5644195204,1
10,Control,1227.392047619769,10.149111489153904,105.53671759495944,126426.86000659574,1
11,Reference,4429.64459896892,10.149111489153904,105.53671759495944,456273.1677126734,1
12,Reference,3961.207311474459,10.149111489153904,105.53671759495944,408022.0359876631,1
13,Reference,60.03633652167588,10.149111489153904,105.53671759495944,6184.010665096096,1
14,Reference,104.29379521093232,10.149111489153904,105.53671759495944,10742.726476238195,1
15,Reference,364.6650652094313,10.149111489153904,105.53671759495944,37562.129588451724,1
16,Reference,319.7507683496234,10.149111489153904,105.53671759495944,32935.75651360457,1
17,Reference,3218.816466823497,10.149111489153904,105.53671759495944,331552.46494157333,1
18,Reference,3230.998841951825,10.149111489153904,105.53671759495944,332807.3039621485,1
19,Reference,139.80078656093158,10.149111489153904,105.53671759495944,14400.10508918193,1
20,Reference,191.74998208099032,10.149111489153904,105.53671759495944,19751.104129958145,1
1,Stone_pile,64.50101396710782,8.211843285127188,122.53689862515307,4349.585250230265,2
2,Control,38.41114133675029,8.211843285127188,122.53689862515307,2590.2311223826255,2
3,Stone_pile,649.6301632649571,8.211843285127188,122.53689862515307,43807.400883385446,2
4,Control,630.3772557273404,8.211843285127188,122.53689862515307,42509.09319023246,2
5,Stone_pile,78.35899689825959,8.211843285127188,122.53689862515307,5284.089600596267,2
